Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0RW1UL8w8rjQkaIaljaFc5,"0NB5HROxc8dDBXpkIi1v3d,6USv9qhCn6zfxlBQIYJ9qs","Photo ID (with Dominic Fike)","Photo ID (with Dominic Fike)","Remi Wolf,Dominic Fike",2021-03-03,207927,56,spotify:user:dkim3530,2023-08-31T07:49:50Z,"indie pop,modern alternative pop,alternative pop rock,pov: indie",0.747,0.822,1,-5.15,1,0.0893,0.192,0,0.288,0.862,115.937,4
4uBQDAzZ881KYZvW7ZInUn,"3K2Srho6NCF3o9MswGR76H,6USv9qhCn6zfxlBQIYJ9qs","Stop Selling Her Drugs (feat. Dominic Fike)","Will You Be My Yellow?","Bakar,Dominic Fike",2019-09-20,173349,58,spotify:user:dkim3530,2023-10-05T00:05:37Z,"uk alternative hip hop,alternative pop rock,pov: indie",0.847,0.275,5,-6.44,1,0.113,0.61,0,0.0737,0.764,85.007,4
28kOGtTZzbfQ8fMmTwjRFq,"4STHEaNw4mPZ2tzheohgXB,6USv9qhCn6zfxlBQIYJ9qs","The Kiss Of Venus (Dominic Fike)","McCartney III Imagined","Paul McCartney,Dominic Fike",2021-04-16,143530,60,spotify:user:dkim3530,2023-10-05T16:53:23Z,"classic rock,mellow gold,rock,soft rock,alternative pop rock,pov: indie",0.715,0.374,8,-6.665,1,0.0399,0.627,0,0.11,0.633,89.982,4
7aely3H8kMj9o0gt6vXHE1,"1uNFoZAHBGtllmzznpCI3s,6USv9qhCn6zfxlBQIYJ9qs","Die For You (feat. Dominic Fike)","Justice","Justin Bieber,Dominic Fike",2021-03-19,198425,57,spotify:user:dkim3530,2023-10-09T23:41:39Z,"canadian pop,pop,alternative pop rock,pov: indie",0.728,0.629,1,-6.629,1,0.0318,0.00196,0.00000194,0.0847,0.71,135.031,4
7sz6nHtAKOOt5cpOniz0sW,"5FxD8fkQZ6KcsSYupDVoSO,6JGszm6z8oHmeLbxPHjMao,1rHOtdmGNr5vcYNw5v7QGC","Hit Me Up","Hit Me Up","Omar Apollo,Dominic Fike,Kenny Beats",2019-11-05,160000,53,spotify:user:dkim3530,2024-01-23T19:59:08Z,"bedroom pop,bedroom soul,indie hip hop,trap,underground hip hop",0.773,0.62,9,-5.252,1,0.104,0.36,0.0000024,0.175,0.625,84.975,4
5KrhLD0kGwxAExfPBaJXKb,"4RShN5ffl7zvij7OgRzosl,6JGszm6z8oHmeLbxPHjMao","Late Pass","Book of Water","Slyte,Dominic Fike",2023-05-14,138948,0,spotify:user:dkim3530,2024-01-26T23:15:47Z,"florida rap",0.705,0.351,1,-13.338,0,0.3,0.315,0.00839,0.112,0.0398,107.054,4
7rbt19kiQ2k7XjYKUcIhkY,"6USv9qhCn6zfxlBQIYJ9qs","megaman","14 minutes","Dominic Fike",2024-05-03,77809,59,spotify:user:dkim3530,2024-05-03T04:50:28Z,"alternative pop rock,pov: indie",0.796,0.356,2,-10.919,1,0.232,0.745,0.00478,0.102,0.547,142.368,5
0zikWa6k06uycAkRB8CsXA,"6USv9qhCn6zfxlBQIYJ9qs","hi grace","14 minutes","Dominic Fike",2024-05-03,161608,63,spotify:user:dkim3530,2024-05-03T04:50:32Z,"alternative pop rock,pov: indie",0.712,0.664,11,-6.459,1,0.231,0.232,0.0261,0.196,0.699,98.011,4
4w1esviQOM4f8uZ6RuAjyY,"6USv9qhCn6zfxlBQIYJ9qs","1.23.23","14 minutes","Dominic Fike",2024-05-03,121630,58,spotify:user:dkim3530,2024-05-03T04:50:35Z,"alternative pop rock,pov: indie",0.701,0.552,0,-9.623,0,0.112,0.542,0.0373,0.126,0.227,93.015,4
4mY6K0hRQlpOs3hyTNOcKe,"6USv9qhCn6zfxlBQIYJ9qs","THICKRICK","14 minutes","Dominic Fike",2024-05-03,164282,59,spotify:user:dkim3530,2024-05-03T04:50:39Z,"alternative pop rock,pov: indie",0.731,0.33,0,-10.925,1,0.0594,0.642,0.0000349,0.082,0.704,81.519,4
